user_id,age,gender,device_os,device_model,location,account_created_date
USR00063,53,Male,Android,Samsung S24,Hanoi,2026-04-19
USR00064,52,Female,Android,Xiaomi Redmi 13,Danang,2026-04-26
USR00065,19,Female,iOS,iPhone 13,Danang,2026-01-16
USR00066,36,Female,Android,Xiaomi Redmi 13,Hanoi,2026-02-23
USR00067,30,Female,iOS,iPhone 13,Danang,2026-05-06
USR00068,60,Male,iOS,iPhone 14,Others,2026-04-17
USR00069,21,Male,iOS,iPhone 15,Danang,2026-01-15
USR00070,24,Male,Android,Samsung S24,HCM,2026-05-05
USR00071,54,Female,iOS,iPhone 15,HCM,2026-04-19
USR00072,21,Male,Android,Xiaomi Redmi 13,Others,
USR00073,51,Male,Android,Samsung A55,HCM,
USR00074,36,Male,iOS,iPhone 15,Hanoi,2026-02-27
USR00075,60,Male,Android,Samsung S24,Hanoi,2026-03-02
USR00076,26,Male,iOS,iPhone 15,Hanoi,2026-02-20
USR00077,53,Male,iOS,iPhone 13,Danang,
USR00078,58,Female,Android,Samsung A55,HCM,2026-05-31
USR00079,48,Female,Android,Oppo A58,Others,
USR00080,49,Male,Android,Xiaomi Redmi 13,HCM,2026-04-27
USR00081,34,Male,iOS,iPhone 14,HCM,2026-01-16
USR00082,48,Female,Android,Samsung A55,Others,2026-03-21
USR00083,44,Male,iOS,iPhone 15,HCM,
USR00084,47,Male,Android,Samsung S24,Danang,2026-03-23
USR00085,46,Female,iOS,iPhone 14,HCM,2026-03-09
USR00086,38,Male,Android,Samsung A55,Others,
USR00087,28,Female,Android,Oppo A58,Hanoi,2026-03-25
USR00088,22,Female,Android,Xiaomi Redmi 13,Hanoi,2026-04-03
USR00089,21,Male,iOS,iPhone 14,Danang,
USR00090,24,Male,iOS,iPhone 13,Hanoi,2026-02-16
USR00091,57,Male,Android,Samsung S24,HCM,
USR00092,36,Male,Android,Samsung S24,Others,
USR00093,33,Male,iOS,iPhone 13,HCM,2026-04-06
USR00094,51,Male,Android,Oppo A58,Hanoi,2026-05-02
USR00095,24,Male,iOS,iPhone 14,Hanoi,2026-04-11
USR00096,25,Male,Android,Samsung A55,Hanoi,
USR00097,35,Male,Android,Samsung S24,Others,2026-03-25
USR00098,36,Male,iOS,iPhone 15,Danang,2026-04-28
USR00099,32,Male,Android,Oppo A58,HCM,2026-02-25
USR00100,29,Female,Android,Xiaomi Redmi 13,Hanoi,2026-02-27
USR00101,40,Female,iOS,iPhone 14,HCM,2026-02-10
USR00102,30,Male,Android,Samsung S24,Hanoi,
USR00103,25,Female,Android,Samsung A55,Others,
USR00104,55,Female,iOS,iPhone 13,Hanoi,2026-03-05
USR00105,20,Female,iOS,iPhone 13,Danang,2026-05-27
USR00106,32,Male,iOS,iPhone 14,Others,2026-01-12
USR00107,52,Male,Android,Oppo A58,Danang,
USR00108,60,Male,Android,Samsung A55,Danang,2026-05-07
USR00109,34,Male,iOS,iPhone 15,Others,2026-02-01
USR00110,60,Male,iOS,iPhone 15,Others,2026-03-25
USR00111,40,Male,Android,Samsung A55,Danang,
USR00112,59,Female,Android,Samsung S24,Hanoi,
USR00113,34,Female,Android,Xiaomi Redmi 13,Hanoi,2026-03-15
USR00114,23,Male,Android,Oppo A58,Hanoi,
USR00115,52,Male,Android,Oppo A58,Hanoi,2026-04-20
USR00116,30,Male,Android,Samsung S24,Others,
USR00117,31,Male,Android,Samsung A55,Others,2026-05-04
USR00118,45,Male,Android,Xiaomi Redmi 13,HCM,
USR00119,19,Female,iOS,iPhone 13,HCM,2026-05-24
USR00120,24,Female,iOS,iPhone 13,Others,
USR00121,46,Female,iOS,iPhone 15,Danang,2026-04-23
USR00122,59,Female,Android,Samsung A55,HCM,2026-04-03
USR00123,19,Male,Android,Samsung A55,Hanoi,2026-03-02
USR00124,37,Female,Android,Xiaomi Redmi 13,Danang,2026-03-25
USR00125,49,Female,Android,Oppo A58,Others,
USR00126,55,Female,Android,Samsung S24,Danang,2026-04-28
USR00127,20,Female,Android,Samsung S24,HCM,2026-04-04
USR00128,26,Male,Android,Xiaomi Redmi 13,Danang,
USR00129,24,Male,iOS,iPhone 14,Others,
USR00130,45,Male,Android,Samsung S24,Others,2026-02-18
USR00131,44,Male,Android,Oppo A58,Danang,
USR00132,30,Female,iOS,iPhone 14,Others,
USR00133,29,Male,iOS,iPhone 14,Hanoi,2026-05-09
USR00134,31,Female,Android,Xiaomi Redmi 13,Hanoi,2026-03-31
USR00135,22,Male,Android,Samsung S24,Others,2026-03-20
USR00136,38,Female,Android,Samsung S24,Hanoi,
USR00137,56,Female,iOS,iPhone 14,Others,2026-04-15
USR00138,53,Male,iOS,iPhone 13,Hanoi,
USR00139,41,Female,Android,Samsung A55,HCM,2026-05-05
USR00140,29,Female,iOS,iPhone 13,Others,
USR00141,46,Male,Android,Samsung A55,HCM,2026-03-16
USR00142,45,Male,iOS,iPhone 14,Others,
USR00143,38,Female,Android,Oppo A58,HCM,2026-05-21
USR00144,23,Female,iOS,iPhone 13,HCM,
USR00145,26,Male,iOS,iPhone 13,Danang,2026-03-29
USR00146,25,Male,iOS,iPhone 14,Hanoi,
USR00147,30,Female,Android,Xiaomi Redmi 13,HCM,2026-03-16
USR00148,42,Female,iOS,iPhone 14,Others,2026-05-03
USR00149,45,Male,Android,Samsung A55,HCM,
USR00150,27,Male,iOS,iPhone 13,Danang,
USR00151,48,Female,Android,Samsung S24,Hanoi,2026-05-11
USR00152,54,Male,iOS,iPhone 14,Others,
USR00153,33,Male,Android,Oppo A58,Others,
USR00154,45,Male,Android,Samsung S24,Others,2026-03-25
USR00155,29,Female,Android,Oppo A58,Hanoi,2026-05-15
USR00156,53,Female,Android,Samsung S24,Danang,2026-04-05
USR00157,38,Female,iOS,iPhone 14,Hanoi,
USR00158,43,Female,iOS,iPhone 15,Hanoi,2026-01-11
USR00159,24,Female,iOS,iPhone 15,Hanoi,
USR00160,56,Female,Android,Oppo A58,Others,
USR00161,35,Female,iOS,iPhone 15,Danang,
USR00162,60,Male,Android,Samsung A55,Others,2026-05-29
USR00163,35,Female,iOS,iPhone 15,Others,2026-01-18
USR00164,25,Male,Android,Samsung S24,Danang,2026-03-21
USR00165,29,Male,iOS,iPhone 15,HCM,2026-04-11
USR00166,52,Male,Android,Samsung S24,Hanoi,
USR00167,29,Female,Android,Xiaomi Redmi 13,Others,
USR00168,37,Female,Android,Samsung A55,HCM,
USR00169,35,Female,iOS,iPhone 14,HCM,2026-05-11
USR00170,54,Male,iOS,iPhone 14,Others,2026-05-16
USR00171,44,Male,Android,Xiaomi Redmi 13,HCM,2026-05-13
USR00172,53,Female,Android,Samsung S24,HCM,2026-01-24
USR00173,59,Female,Android,Oppo A58,Danang,
USR00174,42,Female,Android,Samsung A55,HCM,2026-01-26
USR00175,53,Male,Android,Samsung S24,Danang,2026-02-27
USR00176,54,Male,Android,Samsung S24,HCM,2026-05-29
USR00177,19,Female,Android,Oppo A58,Hanoi,
USR00178,31,Male,iOS,iPhone 15,Others,2026-04-19
USR00179,45,Female,iOS,iPhone 14,Hanoi,
USR00180,52,Male,Android,Xiaomi Redmi 13,Hanoi,
USR00181,55,Female,Android,Samsung S24,Others,
USR00182,18,Female,iOS,iPhone 14,HCM,2026-05-10
USR00183,56,Male,iOS,iPhone 14,HCM,2026-03-10
USR00184,32,Male,iOS,iPhone 13,Hanoi,2026-03-02
USR00185,21,Male,Android,Xiaomi Redmi 13,Danang,2026-05-17
USR00186,55,Male,iOS,iPhone 14,Danang,
USR00187,58,Female,Android,Samsung S24,Others,
USR00188,20,Female,iOS,iPhone 15,Danang,
USR00189,49,Female,Android,Oppo A58,Danang,
USR00190,57,Male,Android,Samsung A55,HCM,2026-05-24
USR00191,49,Female,iOS,iPhone 15,Others,2026-03-18
USR00192,22,Female,iOS,iPhone 15,Danang,2026-04-29
USR00193,32,Female,Android,Samsung S24,Others,2026-01-04
USR00194,36,Male,Android,Samsung S24,HCM,2026-02-26
USR00195,43,Female,iOS,iPhone 14,Danang,2026-02-24
USR00196,25,Female,iOS,iPhone 14,Others,2026-01-17
USR00197,27,Female,iOS,iPhone 13,Danang,2026-01-27
USR00198,37,Female,Android,Xiaomi Redmi 13,HCM,2026-02-24
USR00199,19,Male,Android,Xiaomi Redmi 13,Hanoi,2026-05-16
USR00200,45,Male,Android,Samsung A55,Others,
USR00201,40,Male,iOS,iPhone 13,HCM,2026-01-01
USR00202,23,Female,Android,Samsung A55,Danang,2026-01-04
USR00203,55,Male,Android,Xiaomi Redmi 13,Hanoi,
USR00204,18,Male,Android,Samsung A55,Others,2026-02-23
USR00205,50,Male,iOS,iPhone 15,Hanoi,
USR00206,24,Female,Android,Oppo A58,Hanoi,2026-01-20
USR00207,25,Male,iOS,iPhone 14,Danang,2026-02-27
USR00208,41,Female,iOS,iPhone 15,Others,
USR00209,29,Female,Android,Samsung A55,Others,
USR00210,43,Male,iOS,iPhone 13,Others,2026-04-06
USR00211,27,Male,iOS,iPhone 13,Others,2026-05-02
USR00212,42,Female,Android,Samsung A55,HCM,
USR00213,30,Male,iOS,iPhone 13,Danang,
USR00214,48,Female,Android,Xiaomi Redmi 13,Danang,
USR00215,42,Female,iOS,iPhone 15,HCM,
USR00216,41,Male,Android,Samsung A55,Hanoi,
USR00217,40,Male,Android,Xiaomi Redmi 13,Others,2026-03-24
USR00218,26,Female,Android,Xiaomi Redmi 13,Hanoi,2026-04-19
USR00219,19,Female,Android,Samsung A55,Others,2026-05-20
USR00220,52,Male,iOS,iPhone 15,Hanoi,2026-05-23
USR00221,25,Female,Android,Samsung S24,Others,2026-03-31
USR00222,52,Male,Android,Xiaomi Redmi 13,Others,2026-03-08
USR00223,59,Female,Android,Samsung S24,HCM,2026-02-18
USR00224,34,Female,Android,Samsung S24,Others,
USR00225,51,Female,Android,Samsung S24,Danang,2026-03-16
USR00226,57,Female,Android,Oppo A58,Others,
USR00227,40,Male,Android,Samsung S24,HCM,
USR00228,41,Male,iOS,iPhone 14,Hanoi,
USR00229,20,Female,iOS,iPhone 13,Others,2026-04-04
USR00230,46,Male,iOS,iPhone 15,Others,2026-03-13
USR00231,33,Female,Android,Samsung A55,HCM,2026-02-13
USR00232,59,Male,Android,Xiaomi Redmi 13,Hanoi,2026-03-24
USR00233,41,Male,Android,Xiaomi Redmi 13,Others,2026-02-16
USR00234,39,Female,Android,Samsung S24,HCM,2026-04-09
USR00235,29,Male,iOS,iPhone 15,HCM,
USR00236,31,Female,iOS,iPhone 13,HCM,
USR00237,35,Female,Android,Samsung S24,HCM,2026-05-27
USR00238,38,Male,Android,Xiaomi Redmi 13,Others,2026-04-11
USR00239,38,Female,Android,Samsung A55,Hanoi,2026-04-20
USR00240,30,Female,Android,Samsung A55,Danang,2026-01-28
USR00241,42,Male,Android,Samsung S24,Others,2026-02-21
USR00242,44,Male,iOS,iPhone 15,Hanoi,2026-02-08
USR00243,20,Female,iOS,iPhone 15,Hanoi,2026-02-15
USR00244,56,Female,Android,Oppo A58,Danang,2026-01-08
USR00245,58,Male,Android,Samsung A55,Danang,2026-03-18
USR00246,54,Male,iOS,iPhone 15,Hanoi,
USR00247,30,Female,iOS,iPhone 15,Danang,
USR00248,51,Female,iOS,iPhone 13,Others,2026-01-20
USR00249,42,Male,iOS,iPhone 13,Others,
USR00250,47,Female,iOS,iPhone 13,Danang,
USR00251,22,Female,iOS,iPhone 15,Danang,
USR00252,41,Male,iOS,iPhone 13,Hanoi,2026-03-08
USR00253,26,Male,Android,Samsung A55,Hanoi,2026-01-19
USR00254,54,Male,Android,Samsung A55,Hanoi,2026-03-30
USR00255,53,Female,Android,Xiaomi Redmi 13,Hanoi,2026-02-19
USR00256,60,Male,Android,Samsung S24,HCM,
USR00257,52,Female,iOS,iPhone 14,Hanoi,2026-01-02
USR00258,23,Male,Android,Samsung S24,Hanoi,2026-03-12
USR00259,27,Female,Android,Samsung A55,HCM,
USR00260,42,Male,iOS,iPhone 14,HCM,2026-05-11
USR00261,26,Male,Android,Samsung A55,Others,2026-01-25
USR00262,43,Female,Android,Xiaomi Redmi 13,Hanoi,
USR00263,47,Female,iOS,iPhone 15,Danang,2026-03-07
USR00264,57,Female,iOS,iPhone 15,HCM,
USR00265,38,Male,iOS,iPhone 13,Hanoi,2026-02-14
USR00266,49,Male,iOS,iPhone 13,Danang,2026-05-14
USR00267,36,Female,iOS,iPhone 15,Danang,
USR00268,34,Female,Android,Samsung S24,Others,2026-02-18
USR00269,44,Male,iOS,iPhone 13,Others,2026-01-26
USR00270,48,Male,Android,Samsung S24,Danang,
USR00271,24,Female,iOS,iPhone 14,Others,2026-03-10
USR00272,19,Male,iOS,iPhone 15,HCM,2026-02-03
USR00273,29,Male,iOS,iPhone 13,Danang,
USR00274,57,Male,Android,Samsung S24,Hanoi,2026-03-01
USR00275,21,Female,Android,Xiaomi Redmi 13,Others,
USR00276,52,Male,iOS,iPhone 15,Others,
USR00277,27,Female,iOS,iPhone 13,Danang,2026-05-07
USR00278,18,Female,Android,Samsung A55,Danang,2026-02-02
USR00279,30,Male,iOS,iPhone 14,Hanoi,2026-01-05
USR00280,33,Female,Android,Xiaomi Redmi 13,Hanoi,2026-02-16
USR00281,46,Male,iOS,iPhone 15,Danang,2026-01-03
USR00282,33,Female,iOS,iPhone 14,Danang,2026-03-29
USR00283,31,Female,iOS,iPhone 14,Hanoi,2026-02-10
USR00284,52,Female,iOS,iPhone 15,HCM,2026-02-22
USR00285,31,Female,iOS,iPhone 15,HCM,2026-04-29
USR00286,39,Female,iOS,iPhone 15,HCM,2026-05-22
USR00287,18,Male,Android,Xiaomi Redmi 13,Hanoi,2026-03-01
USR00288,47,Male,Android,Samsung A55,HCM,2026-02-07
USR00289,36,Female,iOS,iPhone 14,Hanoi,2026-01-28
USR00290,49,Female,iOS,iPhone 13,Others,2026-02-19
USR00291,46,Male,iOS,iPhone 14,HCM,2026-04-20
USR00292,29,Male,iOS,iPhone 14,Hanoi,2026-02-27
USR00293,35,Female,iOS,iPhone 14,HCM,
USR00294,41,Male,iOS,iPhone 13,Danang,
USR00295,24,Female,iOS,iPhone 14,Danang,2026-03-02
USR00296,49,Male,Android,Oppo A58,Hanoi,
USR00297,25,Female,iOS,iPhone 15,HCM,2026-04-23
USR00298,18,Female,iOS,iPhone 13,Hanoi,2026-04-11
USR00299,37,Male,Android,Samsung S24,HCM,2026-02-09
USR00300,35,Female,Android,Oppo A58,Hanoi,
USR00301,38,Female,iOS,iPhone 13,Danang,
USR00302,24,Male,Android,Oppo A58,Hanoi,2026-03-08
USR00303,46,Male,iOS,iPhone 13,Others,
USR00304,21,Male,iOS,iPhone 15,Danang,
USR00305,40,Female,iOS,iPhone 14,Danang,
USR00306,35,Male,iOS,iPhone 13,Others,
USR00307,33,Female,Android,Samsung S24,Danang,2026-05-25
USR00308,50,Male,Android,Samsung S24,HCM,2026-02-12
USR00309,20,Female,iOS,iPhone 13,Danang,2026-04-04
USR00310,28,Male,Android,Oppo A58,Hanoi,
USR00311,36,Male,iOS,iPhone 14,Others,2026-05-20
USR00312,31,Female,Android,Samsung S24,Danang,2026-02-14
USR00313,54,Female,Android,Samsung S24,Danang,2026-02-13
USR00314,42,Female,iOS,iPhone 15,Hanoi,2026-05-10
USR00315,41,Female,iOS,iPhone 14,HCM,2026-02-07
USR00316,54,Male,iOS,iPhone 15,HCM,
USR00317,19,Male,Android,Xiaomi Redmi 13,Danang,2026-01-12
USR00318,31,Male,iOS,iPhone 15,Others,2026-05-11
USR00319,51,Male,Android,Samsung S24,Danang,2026-02-05
USR00320,32,Male,Android,Samsung S24,HCM,2026-01-02
USR00321,51,Female,Android,Oppo A58,Danang,2026-03-07
USR00322,28,Female,Android,Samsung A55,Others,
USR00323,20,Male,Android,Samsung S24,Others,2026-04-17
USR00324,44,Female,Android,Oppo A58,Others,2026-03-31
USR00325,58,Female,iOS,iPhone 13,Hanoi,2026-01-03
USR00326,52,Female,Android,Xiaomi Redmi 13,Others,2026-03-30
USR00327,57,Female,Android,Samsung S24,Danang,2026-03-03
USR00328,22,Male,Android,Xiaomi Redmi 13,Danang,2026-01-10
USR00329,51,Female,Android,Xiaomi Redmi 13,Others,2026-04-16
USR00330,24,Female,iOS,iPhone 13,Hanoi,
USR00331,29,Male,Android,Xiaomi Redmi 13,Others,2026-04-09
USR00332,51,Male,Android,Samsung A55,Hanoi,2026-05-04
USR00333,21,Female,Android,Samsung S24,Others,
USR00334,58,Male,Android,Oppo A58,HCM,2026-03-22
USR00335,23,Male,iOS,iPhone 13,Hanoi,2026-05-18
USR00336,49,Male,Android,Oppo A58,Hanoi,
USR00337,47,Female,Android,Samsung S24,HCM,2026-01-28
USR00338,44,Male,iOS,iPhone 14,HCM,2026-05-21
USR00339,47,Male,iOS,iPhone 14,Others,2026-04-10
USR00340,23,Male,iOS,iPhone 14,HCM,2026-03-30
USR00341,29,Male,iOS,iPhone 13,Hanoi,2026-05-03
USR00342,31,Male,Android,Oppo A58,Hanoi,
USR00343,26,Female,Android,Samsung A55,HCM,2026-05-26
USR00344,36,Male,iOS,iPhone 15,Danang,
USR00345,50,Male,Android,Oppo A58,Danang,
USR00346,33,Male,Android,Samsung A55,Hanoi,2026-02-17
USR00347,59,Female,iOS,iPhone 13,Danang,2026-04-01
USR00348,48,Female,iOS,iPhone 15,Hanoi,
USR00349,26,Male,Android,Samsung S24,Danang,2026-03-03
USR00350,48,Male,iOS,iPhone 15,Others,2026-05-26
USR00351,27,Male,iOS,iPhone 13,Others,2026-05-02
USR00352,39,Female,Android,Xiaomi Redmi 13,Others,
USR00353,34,Female,Android,Xiaomi Redmi 13,HCM,
USR00354,57,Male,Android,Oppo A58,Others,
USR00355,29,Male,Android,Xiaomi Redmi 13,Others,2026-05-15
USR00356,60,Male,Android,Samsung A55,Hanoi,2026-04-27
USR00357,19,Male,Android,Oppo A58,HCM,
USR00358,32,Female,Android,Xiaomi Redmi 13,Danang,2026-01-05
USR00359,60,Male,iOS,iPhone 14,Danang,2026-04-23
USR00360,49,Female,iOS,iPhone 15,Danang,
USR00361,22,Male,iOS,iPhone 13,Danang,2026-03-31
USR00362,58,Male,Android,Samsung A55,HCM,2026-05-19
USR00363,55,Female,Android,Samsung A55,Others,
USR00364,55,Female,iOS,iPhone 14,Others,2026-02-10
USR00365,49,Male,iOS,iPhone 15,HCM,
USR00366,60,Female,iOS,iPhone 13,Others,2026-01-28
USR00367,35,Male,Android,Xiaomi Redmi 13,Others,
USR00368,54,Female,iOS,iPhone 15,Danang,2026-03-13
USR00369,29,Male,iOS,iPhone 15,Hanoi,2026-03-21
USR00370,34,Male,iOS,iPhone 13,Others,2026-02-11
USR00371,49,Male,iOS,iPhone 15,HCM,2026-03-15
USR00372,48,Female,Android,Samsung S24,Hanoi,2026-01-22
USR00373,50,Female,Android,Samsung S24,Danang,2026-01-08
USR00374,21,Male,Android,Samsung A55,Danang,2026-02-22
USR00375,29,Female,Android,Oppo A58,Others,
USR00376,43,Female,Android,Samsung S24,Hanoi,2026-04-05
USR00377,57,Female,iOS,iPhone 14,HCM,2026-04-10
USR00378,45,Female,Android,Oppo A58,HCM,
USR00379,35,Male,Android,Xiaomi Redmi 13,HCM,2026-04-04
USR00380,34,Male,iOS,iPhone 14,Danang,2026-05-16
USR00381,28,Male,Android,Samsung A55,Others,
USR00382,60,Male,Android,Samsung A55,HCM,2026-05-13
USR00383,35,Female,Android,Xiaomi Redmi 13,HCM,2026-02-26
USR00384,46,Female,iOS,iPhone 14,HCM,2026-03-09
USR00385,52,Female,iOS,iPhone 13,Hanoi,
USR00386,24,Female,iOS,iPhone 13,HCM,2026-04-08
USR00387,60,Female,iOS,iPhone 14,Danang,2026-04-07
USR00388,24,Male,Android,Samsung A55,Danang,2026-02-23
USR00389,25,Female,Android,Samsung A55,Hanoi,
USR00390,35,Female,Android,Xiaomi Redmi 13,Others,2026-03-30
USR00391,26,Male,Android,Xiaomi Redmi 13,Hanoi,2026-02-24
USR00392,27,Male,iOS,iPhone 14,Danang,2026-01-31
USR00393,18,Male,Android,Samsung S24,HCM,2026-05-24
USR00394,33,Male,iOS,iPhone 15,Danang,
USR00395,25,Male,Android,Xiaomi Redmi 13,HCM,2026-03-21
USR00396,22,Male,Android,Xiaomi Redmi 13,Danang,
USR00397,24,Male,Android,Samsung S24,HCM,2026-04-08
USR00398,49,Female,iOS,iPhone 15,Danang,
USR00399,46,Female,iOS,iPhone 14,HCM,2026-02-06
USR00400,44,Female,iOS,iPhone 13,Danang,2026-05-13
USR00401,27,Male,iOS,iPhone 13,Others,2026-05-19
USR00402,55,Male,Android,Samsung A55,HCM,2026-03-17
USR00403,23,Male,Android,Xiaomi Redmi 13,Others,
USR00404,47,Female,Android,Samsung S24,Hanoi,2026-04-25
USR00405,54,Male,Android,Samsung S24,HCM,
USR00406,26,Female,Android,Samsung S24,Others,
USR00407,29,Male,iOS,iPhone 15,HCM,2026-02-06
USR00408,45,Male,iOS,iPhone 15,Hanoi,2026-05-27
USR00409,40,Female,Android,Samsung A55,Danang,2026-05-14
USR00410,37,Male,Android,Xiaomi Redmi 13,Hanoi,2026-04-29
USR00411,44,Female,Android,Samsung S24,Hanoi,2026-02-12
USR00412,38,Male,iOS,iPhone 13,Hanoi,
USR00413,52,Male,iOS,iPhone 13,HCM,2026-03-17
USR00414,30,Female,Android,Samsung A55,Others,2026-05-01
USR00415,32,Female,Android,Oppo A58,HCM,
USR00416,44,Female,iOS,iPhone 14,Danang,2026-01-07
USR00417,25,Female,Android,Samsung A55,Others,
USR00418,44,Female,Android,Oppo A58,Hanoi,2026-03-20
USR00419,23,Male,iOS,iPhone 15,Hanoi,2026-04-26
USR00420,34,Male,iOS,iPhone 13,Others,2026-05-06
USR00421,33,Male,Android,Samsung S24,Hanoi,2026-02-01
USR00422,32,Male,iOS,iPhone 13,Hanoi,
USR00423,23,Male,iOS,iPhone 13,Danang,2026-02-09
USR00424,53,Male,Android,Oppo A58,Hanoi,
USR00425,32,Female,iOS,iPhone 15,Others,2026-04-23
USR00426,60,Female,iOS,iPhone 14,Others,2026-02-28
USR00427,18,Female,Android,Samsung A55,Danang,2026-03-05
USR00428,60,Female,iOS,iPhone 14,HCM,
USR00429,41,Male,Android,Samsung S24,Hanoi,2026-04-05
USR00430,38,Male,Android,Samsung S24,HCM,2026-01-17
USR00431,22,Female,iOS,iPhone 14,Others,
USR00432,28,Female,Android,Xiaomi Redmi 13,Danang,2026-02-23
USR00433,32,Male,Android,Samsung A55,Hanoi,
USR00434,20,Female,Android,Samsung A55,HCM,
USR00435,30,Male,iOS,iPhone 13,Hanoi,2026-04-27
USR00436,30,Female,iOS,iPhone 15,Hanoi,2026-04-23
USR00437,20,Female,iOS,iPhone 14,Hanoi,2026-01-16
USR00438,26,Male,Android,Samsung A55,Others,
USR00439,34,Female,iOS,iPhone 14,Hanoi,2026-04-23
USR00440,27,Male,iOS,iPhone 13,HCM,
USR00441,44,Male,iOS,iPhone 15,HCM,
USR00442,54,Male,Android,Xiaomi Redmi 13,HCM,
USR00443,41,Male,iOS,iPhone 14,Danang,
USR00444,22,Male,iOS,iPhone 15,Hanoi,
USR00445,29,Male,Android,Samsung S24,Hanoi,
USR00446,27,Female,iOS,iPhone 14,Danang,2026-05-21
USR00447,53,Female,Android,Xiaomi Redmi 13,HCM,
USR00448,58,Female,iOS,iPhone 14,HCM,2026-05-12
USR00449,47,Male,Android,Oppo A58,Others,2026-04-03
USR00450,30,Female,Android,Xiaomi Redmi 13,Hanoi,2026-03-11
USR00451,46,Male,Android,Samsung S24,Others,2026-01-03
USR00452,23,Female,Android,Oppo A58,Hanoi,
USR00453,45,Male,Android,Samsung S24,Others,2026-01-15
USR00454,30,Female,iOS,iPhone 14,HCM,2026-02-13
USR00455,53,Female,iOS,iPhone 15,Others,2026-04-04
USR00456,41,Female,Android,Xiaomi Redmi 13,Others,2026-02-21
USR00457,42,Male,Android,Samsung S24,Others,
USR00458,45,Male,Android,Oppo A58,HCM,2026-03-05
USR00459,19,Male,iOS,iPhone 15,Others,
